frame_index,time_s,neck_radius_px,top_curvature_px_inv,bottom_curvature_px_inv,mean_curvature_px_inv,top_neck_x_px,top_neck_y_px,bottom_neck_x_px,bottom_neck_y_px,top_fit_rmse_px,bottom_fit_rmse_px
0,0.0,24.001026441758682,4.88254598858315,4.895895794623228,4.889220891603189,252.0,479.98349174045774,252.00125949459976,527.9855446239751,4.502985310820133,4.474372155227322
1,0.005,23.985544623975045,4.895895794623203,4.895895794623231,4.8958957946232164,252.00125949459976,480.014455376025,251.99874050540024,527.9855446239751,4.474372155227334,4.474372155227324
2,0.01,23.953657471197346,4.923626566488717,4.909248774960835,4.916437670724775,251.99442816421933,480.0472738125038,252.0,527.9545887548985,4.456531646142964,4.445443108258173
3,0.015,23.951871331640092,4.937985775834072,4.923626566488765,4.930806171161418,252.0,480.04898352421566,252.00557183578067,527.9527261874958,4.4675802524216035,4.456531646142976
4,0.02,23.968221249489716,4.923626566488714,4.910278571962565,4.916952569225639,252.00557183578067,480.0472738125038,251.9956688220496,527.9837163114832,4.456531646142963,4.486016827333691
5,0.025,24.29083688193444,4.867923519278183,4.882282578103078,4.875103048690631,251.99436440628298,479.70830869948765,252.0,528.2899824633565,4.327864711305142,4.339174167403041
6,0.03,24.289982463356722,4.882282578103028,4.882282578103078,4.882282578103053,252.0,479.7100175366431,252.0,528.2899824633565,4.33917416740304,4.339174167403041
7,0.035,24.38729797814409,4.8650725379405,4.856143623038597,4.860608080489548,251.9914847448211,479.65336220545066,252.0042654498941,528.4279581617388,4.184071401266502,4.225001963967987
8,0.04,24.68968139761955,4.805930524583769,4.812220476587566,4.809075500585667,252.0,479.2512935980428,252.00570082769156,528.6306563932819,4.155822827425774,4.199525196424965
9,0.045,24.88842281925355,4.742139181767647,4.788721064037777,4.765430122902712,252.0,479.0285132823832,251.9913489766945,528.8053589208903,4.0596181699850105,4.000190350924336
10,0.05,25.12343687397717,4.753205584508564,4.736874298365291,4.745039941436927,252.00561672560377,478.8717543802879,252.00130177704835,529.1186281282422,4.0690095531662545,4.058241404946835
11,0.055,25.12668212714385,4.716205087138242,4.736248688860064,4.726226887999153,251.99141075047407,478.8574884812349,251.99591754029905,529.1108527355226,4.0715852161235695,4.046818670976761
12,0.06,25.461448129484296,4.66653135306385,4.680545727240814,4.673538540152332,252.0,478.5269219944142,252.0041310450485,529.4498182533828,3.938140172457849,3.9192443071383485
13,0.065,25.43822831524298,4.694524129121643,4.680545727240757,4.6875349281812,252.0,478.57336162289715,251.9958689549515,529.4498182533831,3.899994129466969,3.9192443071383436
14,0.07,25.605280874392207,4.645491536375523,4.696651890146517,4.6710717132610196,251.99583778257997,478.33097401143874,251.99431564169674,529.5415357602232,3.8486361834154454,3.746133581821549
15,0.075,25.788606265597537,4.678959456436219,4.621295958412379,4.650127707424299,252.0,478.29798220355497,252.00243036101455,529.87519473475,3.7277702850847874,3.738410382463262
16,0.08,25.944445647231987,4.615912338435552,4.643905114493331,4.629908726464442,252.0,478.03233453852647,252.0,529.9212258329904,3.697422336147882,3.6580005537938756
17,0.085,26.129018431060445,4.601198337266417,4.5792175243720274,4.590207930819222,252.0,477.83128017493345,251.99330428499985,530.0893170370543,3.7237719570965946,3.6269331429355955
18,0.09,26.27917589334939,4.566143995323528,4.586840152750646,4.576492074037088,252.0,477.61207213838776,251.9940190541834,530.1704239250865,3.655228151802564,3.7127153816100393
19,0.095,26.629552692838416,4.551429994154454,4.542528822709812,4.546979408432133,252.0,477.41101777479486,252.0045599356746,530.6701231604717,3.6875999724627775,3.7274519590229174
20,0.1,26.58898222520517,4.551429994154454,4.5514299941544305,4.551429994154442,252.0,477.41101777479486,252.0,530.5889822252052,3.6875999724627775,3.687599972462797
21,0.105,26.762142620546342,4.543078438589283,4.523012558739359,4.533045498664321,252.0,477.2537292428934,251.99531882758177,530.7780144839861,3.557918444400241,3.5826672933456143
22,0.11,26.86602870813391,4.522429582801102,4.522429582801113,4.522429582801108,252.0,477.13397129186603,252.0,530.8660287081339,3.500719974733121,3.5007199747331312
23,0.115,27.263090811006066,4.469558047731401,4.456204930533292,4.4628814891323465,252.0,476.75238693195365,251.99861623192885,531.2785685539658,3.511946232057417,3.542898249881961
24,0.12,27.366435794023204,4.44890919194322,4.463288348706611,4.456098770324916,252.0,476.632628980926,252.00614650938797,531.3655005689724,3.45397358616974,3.466620575639315
25,0.125,27.476975037346705,4.413854850000336,4.448909191943257,4.431382020971796,252.0,476.41342094438056,252.0,531.367371019074,3.387377551958512,3.453973586169755
26,0.13,27.909622803085796,4.358151652269278,4.378224474259076,4.368188063264177,252.0,476.07445495680787,252.0048359790917,531.8937005629795,3.2635482671356,3.242123308068743
27,0.135,28.105405227414394,4.371323980457078,4.357575649942636,4.3644498151998565,252.0,475.8026478165797,251.99514110510245,532.0134582714085,3.1212471746828454,3.1829422702509045
28,0.14,28.181870139257114,4.371323980457078,4.384673622322761,4.37799880138992,252.0,475.8026478165797,252.00140634277247,532.1663880950939,3.1212471746828454,3.089692688986614
29,0.145,28.31711013444746,4.350675124668923,4.350675124668917,4.3506751246689195,252.0,475.68288986555257,252.0,532.3171101344475,3.0618679235944755,3.0618679235944835
30,0.15,28.71028258319268,4.297803589599265,4.283827026780774,4.2908153081900196,252.0,475.3013055056399,251.9954863835307,532.7218706720253,3.0748426192851426,3.0953572740589324
31,0.155,28.81845244538738,4.2771547338110985,4.2771547338110745,4.277154733811086,252.0,475.1815475546126,252.0,532.8184524453874,3.0145346078702375,3.014534607870228
32,0.16,28.98009181713641,4.2708373927414085,4.274020261778116,4.272428827259763,252.0,474.96591179718115,251.99095345614305,532.926095431454,2.984134353888035,2.999642605224598
33,0.165,29.316222477213188,4.23237134382645,4.232371343826436,4.232371343826443,252.0,474.6837775227869,252.0,533.3162224772133,3.000846522744446,3.0008465227444416
34,0.17,29.507122908051713,4.203251856502613,4.238306198445525,4.220779027474069,252.0,474.38327307367547,252.0,533.3975188897789,3.022184698554379,3.0842663196582114
35,0.175,29.699825716079545,4.203251856502613,4.1546102246566745,4.178931040579643,252.0,474.38327307367547,252.0,533.7829245058346,3.022184698554379,3.0031931750465195
36,0.18,29.782924505834643,4.154610224656619,4.1546102246566745,4.154610224656647,252.0,474.2170754941653,252.0,533.7829245058346,3.0031931750465293,3.0031931750465195
37,0.185,29.954415542764508,4.159694407759433,4.139629040818191,4.149661724288812,252.0,474.0614540258503,252.00511471018254,533.9702851113793,2.901337218446267,2.922413693427531
38,0.19,30.14709752244687,4.131746245152754,4.131746245152762,4.131746245152758,252.00149243286822,473.8529024775529,252.00149243286822,534.1470975224466,2.747006394061775,2.747006394061766
39,0.195,30.63585485721714,4.080925653294083,4.0809256532940505,4.0809256532940665,252.0,473.3641451427829,252.0,534.6358548572172,2.6842113788797937,2.684211378879786
40,0.2,30.941208945852736,4.042459604379093,4.014466828321374,4.028463216350233,252.0,473.0820108683886,252.0,534.964428760094,2.6892342625695145,2.7305866999594306
41,0.205,31.074032778366956,3.9794124863784277,4.014466828321374,3.996939657349901,252.0,472.81636320336014,252.0,534.964428760094,2.6738344278457054,2.7305866999594306
42,0.21,31.18159626750969,4.006115272756138,3.9854664169679275,3.9957908448620327,252.0,472.878282708004,252.0,535.2414752430234,2.6077619790304896,2.5439436815260796
43,0.215,31.351079261296064,3.9504120750250817,3.9854664169679275,3.9679392459965044,252.0,472.53931672043126,252.0,535.2414752430234,2.4892895559244006,2.5439436815260796
44,0.22,31.6636172565143,3.9355763320732304,3.935576332073233,3.9355763320732318,251.99321637725413,472.3363827434857,251.99321637725413,535.6636172565143,2.606662153449555,2.6066621534495584
45,0.225,31.940299638441928,3.9259690258142257,3.925969025814259,3.9259690258142426,252.0,472.059700361558,252.0,535.9402996384418,2.5558893805189955,2.5558893805189875
46,0.23,32.3183117192404,3.9018344916177696,3.9018344916177505,3.90183449161776,252.0,471.68168828075943,252.0,536.3183117192402,2.599563011366576,2.5995630113665666
47,0.235,32.37448310203732,3.9213241608752263,3.921324160875231,3.921324160875229,252.0,471.62551689796265,252.0,536.3744831020373,2.48992999576436,2.489929995764359
48,0.24,32.59369113858273,3.8862698189323535,3.886269818932344,3.886269818932349,252.0,471.40630886141724,252.0,536.5936911385827,2.431292870554252,2.431292870554265
49,0.245,32.851357475477414,3.848420549161104,3.830566621201254,3.839493585181179,251.98923522031632,471.2299421752007,252.0,536.9326571261555,2.260092213617381,2.3139083795608077
50,0.25,33.00163886915951,3.8044301990410263,3.830566621201254,3.81749841012114,251.99455538809386,470.9293793878365,252.0,536.9326571261555,2.237040435468849,2.3139083795608077
51,0.255,33.18861160969195,3.8356875645095694,3.8061026358703773,3.8208951001899734,251.98919948538247,470.91194512372164,251.99455778054474,537.2891683431055,2.229822619381326,2.190231302403134
52,0.26,33.49016617080457,3.8003250962193276,3.782470754219953,3.7913979252196404,251.98909898453195,470.5911348908488,252.0,537.571467232458,2.1931807145801625,2.2472257640868993
53,0.265,33.70936781473955,3.7712059053654836,3.771205905365489,3.7712059053654863,251.98901481222137,470.2906321852603,252.0109851877786,537.7093678147394,2.2433784586023187,2.2433784586023173
54,0.27,33.99149974428818,3.732740347137405,3.732740347137422,3.7327403471374137,251.98890160979334,470.0085002557117,252.01109839020666,537.991499744288,2.233749313299713,2.2337493132997213
55,0.275,34.14954046846972,3.7525725990038405,3.723843755235307,3.738208177119574,252.0004799867159,469.87709426319583,252.01112490671053,538.1761752001353,2.1082553137792277,2.1585460933658545
56,0.28,34.45479637430327,3.6950655822590415,3.6764402681323647,3.685752925195703,251.99490385618688,469.6300769732193,252.00563415870363,538.5396697218258,2.1152188549752373,2.179747347279107
57,0.285,34.856332161176624,3.633047551004192,3.606331847804804,3.619689699404498,252.0,469.26542033817566,252.00574368912683,538.9780846605289,2.002649669754997,2.08212872975158
58,0.29,35.1770358803669,3.5739326463010626,3.5650343021392135,3.569483474220138,252.0,468.86352811275395,252.00581022452016,539.2175998734878,1.9168652339956274,1.9465027872751632
59,0.295,35.48617636233752,3.555732966723677,3.5907873086665276,3.5732601376951023,252.0,468.4042196193898,252.0,539.3765723440648,2.0598817242830507,2.1079867091188143
60,0.3,35.773539227582205,3.5476851006944976,3.5172669178086817,3.5324760092515897,252.00639470035227,468.33083619983995,252.0,539.8779146550044,2.086372500113219,2.051699683520994
61,0.305,35.66943468208416,3.615400905895311,3.5975439678999974,3.606472436897654,252.01145859742206,468.41187215437503,252.0,539.7507415185434,1.910168684780779,1.960700123402733
62,0.31,36.02981645027103,3.5656332292291015,3.5684244805761445,3.567028854902623,252.01161853349686,467.9916130671128,252.0,540.0512459676548,1.9020148591209485,2.0067845729887246
63,0.315,36.62814932682042,3.51191109423766,3.502992234803381,3.5074516645205205,252.00589811338483,467.41247529686683,252.0,540.6687739505077,1.8932408784092718,1.9182168591682742
64,0.32,37.00973321988454,3.4590397626854803,3.4501206997337053,3.454580231209593,252.00598826614657,467.0308918706512,252.0,541.0503583104203,1.9037037150083949,1.932306163981596
65,0.325,37.18912245758574,3.4326172770982946,3.4295379733606155,3.431077625229455,252.01206876318344,466.79145568670214,252.01556922222983,541.1697006018736,1.8504185878153419,1.8712061539779374
66,0.33,37.368075907212244,3.435974285464702,3.427055142999444,3.431514714232073,252.0060284650995,466.6725493914903,252.0,541.4087012059148,1.8140182267874976,1.8383179396433733
67,0.335,37.65403079524799,3.3666842064364926,3.35776465536527,3.3622244309008815,252.0061525380954,466.38659514595633,252.0,541.6946567364523,1.7262883310886494,1.7487572251994972
68,0.34,37.86983986306112,3.321465407422897,3.338657472558375,3.330061439990636,252.01247264829524,466.1018734575363,252.0,541.8415531836586,1.6838056054241144,1.7818533225063802
69,0.345,38.23103981469998,3.3316314702812075,3.3167754588033347,3.324203464542271,252.004421207603,465.8704887310319,252.0,542.3325683604319,1.5285002965372287,1.6082266769706346
70,0.35,38.45074617635683,3.336614930655075,3.3276952665497186,3.3321550986023967,252.0062079843754,465.58988005197153,252.0,542.4913724046852,1.6862971480322948,1.7143626855932728
71,0.355,39.06126549991029,3.324891273003825,3.2886593180208736,3.3067752955123493,252.00062298661487,465.078774812225,251.99658480281724,543.2013058120456,1.7312730802447143,1.7667626751986516
72,0.36,39.13016087810496,3.303395951010221,3.2855342541875245,3.2944651025988727,252.01254087185302,464.9511571673429,252.0,543.2114789235528,1.6785713831774705,1.7215018753503926
73,0.365,39.444852224731534,3.259399836129172,3.232956201423539,3.246178018776355,252.0063550517381,464.6505670197096,251.99652595966538,543.5402714691727,1.6520122862989461,1.6579626017195437
74,0.37,39.50981771140806,3.2387510833581254,3.2298310564564727,3.2342910699072993,252.00639556870556,464.5308094883097,252.0,543.5504449111259,1.586984375838051,1.6090778761211604
75,0.375,40.128765127613406,3.1514151594021373,3.1479591100334274,3.1496871347177824,252.00444043213912,463.95154549874064,252.0,544.2090757539675,1.3847763873051326,1.437139708855733
